Date,Open,High,Low,Close,Volume
2000-06-01,31.3211,31.4024,30.6071,30.767,7381951.1630418
2000-06-02,30.6974,30.6974,28.9431,29.4746,13194607.550407
2000-06-05,29.2971,29.9011,28.9725,29.4746,7501598.8830004
2000-06-06,29.2971,29.7207,29.1235,29.5284,4510324.3058134
2000-06-07,29.8306,29.9669,29.3716,29.3716,5782460.2082563
2000-06-08,29.3716,29.7902,29.0794,29.7658,5200017.1918215
2000-06-09,29.8109,30.6974,29.7452,30.214,5792340.3507454
2000-06-12,30.4346,30.6513,29.702,29.7452,5359171.2055478
2000-06-13,30.0787,31.0494,30.007,30.8709,7614474.5907523
2000-06-14,31.3603,31.5397,31.0985,31.4956,7746547.6937464
2000-06-15,31.581,31.9154,31.3839,31.7801,11244920.660668
2000-06-16,31.6006,31.735,31.3603,31.4251,10361365.286385
2000-06-19,31.4956,31.6947,31.2466,31.6526,5029851.137767
2000-06-20,31.7143,31.735,30.8936,31.072,6146778.3532759
2000-06-21,31.1416,31.735,31.1416,31.5397,7208961.4827564
2000-06-22,31.4956,31.4956,30.9651,31.072,5627822.5688808
2000-06-23,31.1623,31.5604,31.1201,31.4956,5415329.6540111
2000-06-26,32.4028,33.5099,32.2881,33.5099,22271133.165629
2000-06-27,33.4461,34.4346,33.4217,34.3523,20859881.920124
2000-06-28,34.0169,34.4886,33.9571,34.4171,12392890.429346
2000-06-29,34.3758,34.8642,34.1307,34.569,12144842.665868
2000-06-30,34.3758,35.7703,33.8415,35.7488,22697817.861855
2000-07-03,35.5281,35.5281,35.0603,35.4584,6730639.8110568
2000-07-05,35.3732,35.5929,35.0378,35.435,10306340.775217
2000-07-06,35.0839,35.2182,34.7896,34.9701,8169273.8067187
2000-07-07,34.9054,35.3938,34.8397,34.9955,9168813.0190361
2000-07-10,35.3525,35.3938,35.0182,35.1447,6132103.4507513
2000-07-11,34.8642,35.2388,34.7289,35.1447,9568962.3588936
2000-07-12,34.8201,34.925,34.3758,34.3964,8002772.6543162
2000-07-13,34.1945,34.2179,33.3334,33.4217,10794824.034273
2000-07-14,32.5381,32.5586,31.935,32.2026,17746701.945666
2000-07-17,32.6224,33.6001,32.443,33.0892,12421106.297101
2000-07-18,33.1305,33.4865,33.1138,33.3334,11689661.676747
2000-07-19,33.2893,33.5796,32.5381,32.692,7569324.1037061
2000-07-20,32.7146,32.7146,32.1371,32.2273,8380073.9734687
2000-07-21,32.2273,32.7803,31.9154,32.3616,10748538.590204
2000-07-24,32.3842,33.4688,32.3842,33.1305,8008701.3516464
2000-07-25,33.1775,33.2461,32.5381,32.8019,8286950.3928728
2000-07-26,32.8019,32.8019,31.6761,31.6761,10372088.743751
2000-07-27,31.8302,32.6028,31.7801,32.2273,9282537.1403033
2000-07-28,32.5803,32.8695,32.339,32.8695,6825173.6751765
2000-07-31,32.8695,32.9529,32.443,32.644,8933739.2521404
2000-08-01,32.443,33.3334,32.4028,33.2638,7111041.1026695
2000-08-02,33.3098,33.9365,33.0696,33.8609,7018482.4512653
2000-08-03,33.7797,34.1523,33.7266,34.0169,8057524.898167
2000-08-04,33.9051,33.9365,33.4461,33.8816,5732229.4373952
2000-08-07,34.1945,34.1945,33.6658,33.9777,5377509.9899966
2000-08-08,33.8609,34.1945,33.5796,33.9051,6483437.4019105
2000-08-09,33.8816,34.0836,32.8411,33.2638,9998464.5629837
2000-08-10,33.6001,34.3278,33.4217,34.1718,8096746.6878831
2000-08-11,34.1945,34.6847,34.062,34.3278,6331900.7547231
2000-08-14,34.3758,34.5111,33.8816,34.1307,4029183.086794
2000-08-15,33.9571,34.1307,33.6227,33.706,4644931.4323481
2000-08-16,33.9777,34.4346,33.9571,34.3278,4543347.170337
2000-08-17,34.3758,34.4171,33.8816,34.0169,6661220.8225037
2000-08-18,34.1523,34.2415,33.5492,33.9365,7727636.8420113
2000-08-21,34.1523,34.3964,33.9777,34.1523,5172924.0443559
2000-08-22,34.2179,34.4346,34.0836,34.3964,4541083.3746588
2000-08-23,34.3758,34.464,33.706,34.1307,4845577.1498353
2000-08-24,33.706,33.9944,33.6227,33.8816,4659892.8783797
2000-08-25,33.6658,33.8609,33.3746,33.6001,5220611.6141262
2000-08-28,33.2638,33.9944,33.1539,33.3539,7281772.0859156
2000-08-29,33.0892,33.1539,32.6646,32.7362,5504788.332955
2000-08-30,32.3842,32.6646,32.1154,32.1154,5922719.6858919
2000-08-31,32.7803,33.051,32.2507,32.3616,6634976.0885536
2000-09-01,32.5586,32.7146,32.339,32.6028,4289934.6189925
2000-09-05,32.6028,32.8931,32.1371,32.8206,7475638.6531017
2000-09-06,33.0892,33.0892,32.7588,32.8206,7921789.9527044
2000-09-07,32.8411,33.051,32.6028,32.8931,3722722.2567241
2000-09-08,32.7362,33.2638,32.7362,33.2461,5373566.7026597
2000-09-11,33.3334,33.6001,33.3334,33.4461,5777954.0311833
2000-09-12,33.8415,34.0169,33.5796,34.0169,5527356.9482475
2000-09-13,34.0169,34.4171,33.9944,34.3523,6905600.6251467
2000-09-14,34.3278,34.3278,33.7266,33.7797,5868536.4501441
2000-09-15,33.6001,33.7797,33.4217,33.4461,8839484.7934332
2000-09-18,32.644,32.9961,32.339,32.4253,10783813.013672
2000-09-19,32.3105,32.5586,32.091,32.3105,5556991.2573483
2000-09-20,32.339,32.644,31.7801,32.0468,7700263.2694053
2000-09-21,32.0468,33.2638,32.0468,33.1775,8253648.1229367
